,rank_2022,university,score_2022,link,country,city,region,logo,rank_2021,score_2021,rank_2020,score_2020,rank_2019,score_2019,rank_2018,score_2018,rank_2017,score_2017,Latitude,Longitude,Location,score_2022_2
0,1,Massachusetts Institute of Technology (MIT) ,100,https://www.topuniversities.com/universities/massachusetts-institute-technology-mit,United States,Cambridge,North America,https://www.topuniversities.com/sites/default/files/massachusetts-institute-of-technology-mit_410_small.jpg,1,100,1,100,1,100,1,100,1,100,42.360091,-71.09416,"42.360091,-71.09416",100
1,2,University of Oxford,99.5,https://www.topuniversities.com/universities/university-oxford,United Kingdom,Oxford,Europe,https://www.topuniversities.com/sites/default/files/university-of-oxford_478_small.jpg,5,96.7,4,97.2,5,96.8,6,95.3,6,96.8,51.7548164,-1.2543668,"51.7548164,-1.2543668",99.5
2,3,Stanford University,98.7,https://www.topuniversities.com/universities/stanford-university,United States,Stanford,North America,https://www.topuniversities.com/sites/default/files/stanford-university_573_small.jpg,2,98.4,2,98.4,2,98.6,2,98.7,2,98.7,37.4274745,-122.169719,"37.4274745,-122.169719",98.7
3,3,University of Cambridge,98.7,https://www.topuniversities.com/universities/university-cambridge,United Kingdom,Cambridge,Europe,https://www.topuniversities.com/sites/default/files/university-of-cambridge_95_small.jpg,7,94.3,7,95,6,95.6,5,95.6,4,97.2,52.2042666,0.1149085,"52.2042666,0.1149085",98.7
4,5,Harvard University,98,https://www.topuniversities.com/universities/harvard-university,United States,Cambridge,North America,https://www.topuniversities.com/sites/default/files/harvard-university_253_small.jpg,3,97.9,3,97.4,3,98.5,3,98.4,3,98.3,42.3770029,-71.1166601,"42.3770029,-71.1166601",98
5,6,California Institute of Technology (Caltech),97.4,https://www.topuniversities.com/universities/california-institute-technology-caltech,United States,Pasadena,North America,https://www.topuniversities.com/sites/default/files/california-institute-of-technology-caltech_94_small.jpg,4,97,5,96.9,4,97.2,4,97.7,5,96.9,34.1376576,-118.125269,"34.1376576,-118.125269",97.4
6,7,Imperial College London,97.3,https://www.topuniversities.com/universities/imperial-college-london,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/imperial-college-london_592560cf2aeae70239af4be8_small.jpg,8,93.6,9,94.1,8,93.3,8,93.7,9,94.1,51.4988222,-0.1748735,"51.4988222,-0.1748735",97.3
7,8,ETH Zurich - Swiss Federal Institute of Technology,95.4,https://www.topuniversities.com/universities/eth-zurich-swiss-federal-institute-technology,Switzerland,Zürich,Europe,https://www.topuniversities.com/sites/default/files/eth-zurich-swiss-federal-institute-of-technology_201_small.jpg,6,95,6,95.9,7,95.3,10,93.3,8,94.2,47.3763889,8.547628,"47.3763889,8.547628",95.4
8,8,UCL,95.4,https://www.topuniversities.com/universities/ucl,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/ucl_592560cf2aeae70239af4bf1_small.jpg,10,92.9,8,94.8,10,92.9,7,94.6,7,95.6,51.52470604,-0.134018644,"51.52470603507018, -0.13401864403661146",95.4
9,10,University of Chicago,94.5,https://www.topuniversities.com/universities/university-chicago,United States,Chicago,North America,https://www.topuniversities.com/sites/default/files/university-of-chicago_120_small.jpg,9,93.1,10,92,9,93.2,9,93.5,10,93,41.7886079,-87.5987133,"41.7886079,-87.5987133",94.5
10,11,National University of Singapore (NUS),93.9,https://www.topuniversities.com/universities/national-university-singapore-nus,Singapore,Singapore,Asia,https://www.topuniversities.com/sites/default/files/national-university-of-singapore-nus_443_small.jpg,11,91.5,11,91.8,11,92,15,90.5,12,91.5,1.2966426,103.7763939,"1.2966426,103.7763939",93.9
11,12,"Nanyang Technological University, Singapore (NTU)",90.8,https://www.topuniversities.com/universities/nanyang-technological-university-singapore-ntu,Singapore,Singapore,Asia,https://www.topuniversities.com/sites/default/files/nanyang-technological-university-singapore-ntu_592560cf2aeae70239af4c32_small.jpg,13,89.9,11,91.8,12,91.3,11,92.2,13,91.4,1.3483099,103.6831347,"1.3483099,103.6831347",90.8
12,13,University of Pennsylvania,90.7,https://www.topuniversities.com/universities/university-pennsylvania,United States,Philadelphia,North America,https://www.topuniversities.com/sites/default/files/university-of-pennsylvania_495_small.jpg,16,88.6,15,88.9,19,86.5,19,88.7,18,89,39.9522188,-75.1932137,"39.9522188,-75.1932137",90.7
13,14,EPFL,90.2,https://www.topuniversities.com/universities/epfl,Switzerland,Lausanne,Europe,https://www.topuniversities.com/sites/default/files/epfl-ecole-polytechnique-federale-de-lausanne_592560cf2aeae70239af4b34_small.jpg,14,89.6,18,87.4,22,85.8,12,91.2,14,91.1,"46.519062554368766,",6.566752297,"46.519062554368766, 6.566752296946016",90.2
14,14,Yale University,90.2,https://www.topuniversities.com/universities/yale-university,United States,New Haven,North America,https://www.topuniversities.com/sites/default/files/yale-university_684_small.jpg,17,88,17,87.7,15,89.6,16,90.4,15,90.9,41.3163244,-72.9223431,"41.3163244,-72.9223431",90.2
15,16,The University of Edinburgh,89.9,https://www.topuniversities.com/universities/university-edinburgh,United Kingdom,Edinburgh,Europe,https://www.topuniversities.com/sites/default/files/the-university-of-edinburgh_180_small.jpg,20,85.8,20,86.2,18,86.9,23,86.9,19,88.9,55.9445158,-3.1892413,"55.9445158,-3.1892413",89.9
16,17,Tsinghua University,89,https://www.topuniversities.com/universities/tsinghua-university,China (Mainland),Beijing,Asia,https://www.topuniversities.com/sites/default/files/tsinghua-university_626_small.jpg,15,89.2,16,88.6,17,87.2,25,85.6,24,86,39.9996674,116.3264439,"39.9996674,116.3264439",89
17,18,Peking University,88.8,https://www.topuniversities.com/universities/peking-university,China (Mainland),Beijing,Asia,https://www.topuniversities.com/sites/default/files/peking-university_50_small.jpg,23,83.5,22,84.3,30,82.6,38,80.8,39,81.3,39.986913,116.3058739,"39.986913,116.3058739",88.8
18,19,Columbia University,88.7,https://www.topuniversities.com/universities/columbia-university,United States,New York City,North America,https://www.topuniversities.com/sites/default/files/211112094012am25532422IKNS031-Banner-Ads-Topuniversities.com-200x200-v02-48x48.jpg,19,86.5,18,87.4,16,88.5,18,88.9,20,88.6,40.8075355,-73.9625727,"40.8075355,-73.9625727",88.7
19,20,Princeton University,88.6,https://www.topuniversities.com/universities/princeton-university,United States,Princeton,North America,https://www.topuniversities.com/sites/default/files/princeton-university_508_small.jpg,12,91,13,90.9,13,90.9,13,91,11,92.8,40.3430942,-74.6550739,"40.3430942,-74.6550739",88.6
20,21,Cornell University,88.3,https://www.topuniversities.com/universities/cornell-university,United States,Ithaca,North America,https://www.topuniversities.com/sites/default/files/cornell-university_143_small.jpg,18,87.6,14,89.3,14,90.5,14,90.7,16,90.1,42.4534492,-76.4735027,"42.4534492,-76.4735027",88.3
21,22,The University of Hong Kong,86.3,https://www.topuniversities.com/universities/university-hong-kong,Hong Kong SAR,Hong Kong,Asia,https://www.topuniversities.com/sites/default/files/the-university-of-hong-kong_268_small.jpg,22,83.7,25,83.8,25,84.3,26,85.5,27,85.4,22.2830891,114.1365621,"22.2830891,114.1365621",86.3
22,23,The University of Tokyo,86.2,https://www.topuniversities.com/universities/university-tokyo,Japan,Tokyo,Asia,https://www.topuniversities.com/sites/default/files/the-university-of-tokyo_615_small.jpg,24,83.2,22,84.3,23,85.3,28,84.8,34,82.6,35.7126775,139.761989,"35.7126775,139.761989",86.2
23,23,University of Michigan-Ann Arbor,86.2,https://www.topuniversities.com/universities/university-michigan-ann-arbor,United States,Ann Arbor,North America,https://www.topuniversities.com/sites/default/files/university-of-michigan_403_small.jpg,21,84.6,21,86,20,86.4,21,87,23,86.4,42.2780436,-83.7382241,"42.2780436,-83.7382241",86.2
24,25,Johns Hopkins University,85.9,https://www.topuniversities.com/universities/johns-hopkins-university,United States,Baltimore,North America,https://www.topuniversities.com/sites/default/files/johns-hopkins-university_305_small.jpg,25,82.7,24,83.9,21,85.9,17,89.8,17,89.3,39.3299013,-76.6205177,"39.3299013,-76.6205177",85.9
25,26,University of Toronto,85.3,https://www.topuniversities.com/universities/university-toronto,Canada,Toronto,North America,https://www.topuniversities.com/sites/default/files/university-of-toronto_619_small.jpg,25,82.7,29,82.1,28,83,31,84,32,83.8,43.660928,-79.3958992,"43.660928,-79.3958992",85.3
26,27,McGill University,84,https://www.topuniversities.com/universities/mcgill-university,Canada,Montreal,North America,https://www.topuniversities.com/sites/default/files/mcgill-university_592560cf2aeae70239af4c10_small.jpg,31,80,35,80.4,33,81.7,32,83.9,30,84.1,45.5047847,-73.5771511,"45.5047847,-73.5771511",84
27,27,The Australian National University,84,https://www.topuniversities.com/universities/australian-national-university,Australia,Canberra,Oceania,https://www.topuniversities.com/sites/default/files/ANU-crest-48x48.jpg,31,80,29,82.1,24,84.4,20,87.1,22,87.3,-35.2776999,149.118527,"-35.2776999,149.118527",84
28,27,The University of Manchester,84,https://www.topuniversities.com/universities/university-manchester,United Kingdom,Manchester,Europe,https://www.topuniversities.com/sites/default/files/the-university-of-manchester_389_small.jpg,27,82.1,27,82.7,29,82.9,34,83,29,84.8,53.4668498,-2.2338837,"53.4668498,-2.2338837",84
29,30,Northwestern University,82.8,https://www.topuniversities.com/universities/northwestern-university,United States,Evanston,North America,https://www.topuniversities.com/sites/default/files/northwestern-university_592560cf2aeae70239af4c50_small.jpg,29,81.5,31,81.5,34,81.5,28,84.8,26,85.7,42.0564594,-87.675267,"42.0564594,-87.675267",82.8
30,31,Fudan University,82.6,https://www.topuniversities.com/universities/fudan-university,China (Mainland),Shanghai,Asia,https://www.topuniversities.com/sites/default/files/fudan-university_218_small.jpg,34,79.9,40,78.6,44,77.6,40,80.6,43,79.4,31.2974197,121.5036178,"31.2974197,121.5036178",82.6
31,32,"University of California, Berkeley (UCB)",82.5,https://www.topuniversities.com/universities/university-california-berkeley-ucb,United States,Berkeley,North America,https://www.topuniversities.com/sites/default/files/university-of-california-berkeley-ucb_84_small.jpg,30,80.8,28,82.6,27,83.2,27,84.9,28,85.2,37.8718992,-122.2585399,"37.8718992,-122.2585399",82.5
32,33,Kyoto University,82.3,https://www.topuniversities.com/universities/kyoto-university,Japan,Kyoto,Asia,https://www.topuniversities.com/sites/default/files/kyoto-university_328_small.jpg,38,78.9,33,80.5,35,81.2,36,81.5,37,81.7,35.0262444,135.7808218,"35.0262444,135.7808218",82.3
33,34,The Hong Kong University of Science and Technology,82.2,https://www.topuniversities.com/universities/hong-kong-university-science-technology,Hong Kong SAR,Hong Kong,Asia,https://www.topuniversities.com/sites/default/files/the-hong-kong-university-of-science-and-technology_269_small.jpg,27,82.1,32,80.6,37,80.5,30,84.3,36,81.8,22.3363998,114.2654655,"22.3363998,114.2654655",82.2
34,35,King's College London,82,https://www.topuniversities.com/universities/kings-college-london,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/kings-college-london_357_small.jpg,31,80,33,80.5,31,82.5,23,86.9,21,87.7,51.5114864,-0.115997,"51.5114864,-0.115997",82
35,36,Seoul National University,81.7,https://www.topuniversities.com/universities/seoul-national-university,South Korea,Seoul,Asia,https://www.topuniversities.com/sites/default/files/graduate-school-of-business-seoul-national-university_553_small.jpg,37,79,37,79.6,36,80.6,36,81.5,35,82.1,37.4565095,126.9500385,"37.4565095,126.9500385",81.7
36,37,The University of Melbourne,81.4,https://www.topuniversities.com/universities/university-melbourne,Australia,Parkville,Oceania,https://www.topuniversities.com/sites/default/files/the-university-of-melbourne_399_small.jpg,41,76.5,38,79.5,39,80.1,41,80.4,42,79.5,-37.7983459,144.960974,"-37.7983459,144.960974",81.4
37,38,The University of Sydney,80.4,https://www.topuniversities.com/universities/university-sydney,Australia,Sydney,Oceania,https://www.topuniversities.com/sites/default/files/the-university-of-sydney_592560cf2aeae70239af4cd0_small.jpg,40,77.1,42,77.8,42,78.3,50,78,46,77.9,-33.8885748,151.1873494,"-33.8885748,151.1873494",80.4
38,39,The Chinese University of Hong Kong (CUHK),80.3,https://www.topuniversities.com/universities/chinese-university-hong-kong-cuhk,Hong Kong SAR,Hong Kong,Asia,https://www.topuniversities.com/sites/default/files/the-chinese-university-of-hong-kong-cuhk_123_small.jpg,43,75.8,46,75.9,49,75.6,46,78.8,44,78.1,22.419625,114.2067606,"22.419625,114.2067606",80.3
39,40,"University of California, Los Angeles (UCLA)",79.7,https://www.topuniversities.com/universities/university-california-los-angeles-ucla,United States,Los Angeles,North America,https://www.topuniversities.com/sites/default/files/university-of-california-los-angeles-ucla_87_small.jpg,36,79.2,35,80.4,32,81.9,33,83.6,31,84,34.068921,-118.4451811,"34.068921,-118.4451811",79.7
40,41,KAIST - Korea Advanced Institute of Science & Technology,79.1,https://www.topuniversities.com/universities/kaist-korea-advanced-institute-science-technology,South Korea,Daejeon,Asia,https://www.topuniversities.com/sites/default/files/kaist-korea-advanced-institute-of-science-technology_324_small.jpg,39,78.6,41,77.9,40,78.7,41,80.4,46,77.9,36.3721427,127.36039,"36.3721427,127.36039",79.1
41,42,New York University (NYU),78.9,https://www.topuniversities.com/universities/new-york-university-nyu,United States,New York City,North America,https://www.topuniversities.com/sites/default/files/new-york-university-nyu_448_small.jpg,35,79.4,39,78.8,43,77.7,52,77.3,46,77.9,40.7295134,-73.9964609,"40.7295134,-73.9964609",78.9
42,43,The University of New South Wales (UNSW Sydney),77.7,https://www.topuniversities.com/universities/university-new-south-wales-unsw-sydney,Australia,Sydney,Oceania,https://www.topuniversities.com/sites/default/files/the-university-of-new-south-wales-unsw-sydney_447_small.jpg,44,75.4,43,77.1,45,77,45,78.9,49,77.8,-33.917347,151.2312675,"-33.917347,151.2312675",77.7
43,44,Université PSL,77.6,https://www.topuniversities.com/universities/universite-psl,France,,Europe,https://www.topuniversities.com/sites/default/files/universit-psl_592560e69988f300e2321dfe_small.jpg,52,73.3,53,73.4,50,75.1,,,,,48.8546595,2.3378514,"48.8546595,2.3378514",77.6
44,45,Zhejiang University,77.4,https://www.topuniversities.com/universities/zhejiang-university,China (Mainland),Hangzhou,Asia,https://www.topuniversities.com/sites/default/files/zhejiang-university_592560cf2aeae70239af4d37_small.jpg,53,71.9,54,72.4,68,67.5,87,65.9,110,61.6,30.3086844,120.0864995,"30.3086844,120.0864995",77.4
45,46,University of British Columbia,77.1,https://www.topuniversities.com/universities/university-british-columbia,Canada,Vancouver,North America,https://www.topuniversities.com/sites/default/files/university-of-british-columbia_70_small.jpg,45,74.8,51,74.1,47,75.8,51,77.9,45,78,49.2606052,-123.2459939,"49.2606052,-123.2459939",77.1
46,47,The University of Queensland,76.6,https://www.topuniversities.com/universities/university-queensland,Australia,Brisbane City,Oceania,https://www.topuniversities.com/sites/default/files/210824044126am970441uq-logo-48x48.jpg,46,74.5,47,75.7,48,75.7,47,78.6,51,77.6,-27.4975028,153.0136905,"-27.4975028,153.0136905",76.6
47,48,"University of California, San Diego (UCSD)",76.1,https://www.topuniversities.com/universities/university-california-san-diego-ucsd,United States,San Diego,North America,https://www.topuniversities.com/sites/default/files/university-of-california-san-diego-ucsd_89_small.jpg,54,71.2,45,76.6,41,78.6,38,80.8,40,80.6,32.8800604,-117.2340135,"32.8800604,-117.2340135",76.1
48,49,Institut Polytechnique de Paris,75.9,https://www.topuniversities.com/universities/institut-polytechnique-de-paris,France,Palaiseau Cedex,Europe,https://www.topuniversities.com/sites/default/files/institut-polytechnique-de-paris_5f3a6d4210ca6076bc71cae4_small.jpg,,,,,,,,,,,48.7110505,2.2076606,"48.7110505,2.2076606",75.9
49,49,The London School of Economics and Political Science (LSE),75.8,https://www.topuniversities.com/universities/london-school-economics-political-science-lse,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/london-school-of-economics-and-political-science-lse_362_small.jpg,49,73.9,44,77,38,80.2,35,81.8,37,81.7,51.5144388,-0.1164513,"51.5144388,-0.1164513",75.8
50,50,Shanghai Jiao Tong University,75.6,https://www.topuniversities.com/universities/shanghai-jiao-tong-university,China (Mainland),Shanghai,Asia,https://www.topuniversities.com/sites/default/files/shanghai-jiao-tong-university_556_small.jpg,47,74.4,60,70.5,59,70.4,62,72.5,61,72.2,31.0252201,121.4337784,"31.0252201,121.4337784",75.6
51,50,Technical University of Munich,75.6,https://www.topuniversities.com/universities/technical-university-munich,Germany,Munich,Europe,https://www.topuniversities.com/sites/default/files/technical-university-of-munich_599_small.jpg,50,73.6,55,72.3,61,70,64,72,60,72.4,48.14966,11.5678602,"48.14966,11.5678602",75.6
52,52,Duke University,75.2,https://www.topuniversities.com/universities/duke-university,United States,Durham,North America,https://www.topuniversities.com/sites/default/files/duke-university_168_small.jpg,42,76.4,25,83.8,26,83.9,21,87,24,86,36.0014258,-78.9382286,"36.0014258,-78.9382286",75.2
53,53,Carnegie Mellon University,74.6,https://www.topuniversities.com/universities/carnegie-mellon-university,United States,Pittsburgh,North America,https://www.topuniversities.com/sites/default/files/carnegie-mellon-university_101_small.jpg,51,73.4,48,74.8,46,76.6,47,78.6,58,74.2,40.4432027,-79.9428499,"40.4432027,-79.9428499",74.6
54,53,City University of Hong Kong,74.6,https://www.topuniversities.com/universities/city-university-hong-kong,Hong Kong SAR,Hong Kong,Asia,https://www.topuniversities.com/sites/default/files/city-university-of-hong-kong_592560cf2aeae70239af4b05_small.jpg,48,74.3,52,73.6,55,72.1,49,78.4,55,75.4,22.3366793,114.1724234,"22.3366793,114.1724234",74.6
55,55,University of Amsterdam,73.8,https://www.topuniversities.com/universities/university-amsterdam,Netherlands,Amsterdam,Europe,https://www.topuniversities.com/sites/default/files/university-of-amsterdam_18_small.jpg,61,69.9,64,69,57,71.1,58,74.3,57,74.3,52.3558182,4.9557263,"52.3558182,4.9557263",73.8
56,56,Tokyo Institute of Technology (Tokyo Tech),73.5,https://www.topuniversities.com/universities/tokyo-institute-technology-tokyo-tech,Japan,Tokyo,Asia,https://www.topuniversities.com/sites/default/files/tokyo-institute-of-technology_592560cf2aeae70239af4ceb_small.jpg,56,70.8,58,70.9,58,71,56,74.8,56,74.9,35.6051229,139.6835302,"35.6051229,139.6835302",73.5
57,57,Delft University of Technology,73.1,https://www.topuniversities.com/universities/delft-university-technology,Netherlands,Delft,Europe,https://www.topuniversities.com/sites/default/files/delft-university-of-technology_155_small.jpg,57,70.7,50,74.2,52,73.3,54,76.1,62,72.1,52.0021919,4.3735766,"52.0021919,4.3735766",73.1
58,58,Monash University,72.2,https://www.topuniversities.com/universities/monash-university,Australia,Melbourne,Oceania,https://www.topuniversities.com/sites/default/files/monash-university_412_small.jpg,55,70.9,58,70.9,59,70.4,60,73.1,65,71.6,-37.9145125,145.1349971,"-37.9145125,145.1349971",72.2
59,60,Brown University,71.3,https://www.topuniversities.com/universities/brown-university,United States,Providence,North America,https://www.topuniversities.com/sites/default/files/brown-university_72_small.jpg,60,70,57,71.5,56,72,53,76.5,49,77.8,41.8267718,-71.4025482,"41.8267718,-71.4025482",71.3
60,61,The University of Warwick,71.2,https://www.topuniversities.com/universities/university-warwick,United Kingdom,Coventry,Europe,https://www.topuniversities.com/sites/default/files/the-university-of-warwick_664_small.jpg,62,69,62,70.4,54,72.9,57,74.4,51,77.6,52.3792525,-1.5614704,"52.3792525,-1.5614704",71.2
61,62,University of Bristol,71,https://www.topuniversities.com/universities/university-bristol,United Kingdom,Bristol,Europe,https://www.topuniversities.com/sites/default/files/university-of-bristol_69_small.jpg,58,70.6,49,74.5,51,74.9,44,79.5,41,79.6,51.4584172,-2.6029792,"51.4584172,-2.6029792",71
62,63,Ruprecht-Karls-Universität Heidelberg,70.8,https://www.topuniversities.com/universities/ruprecht-karls-universitat-heidelberg,Germany,Heidelberg,Europe,https://www.topuniversities.com/sites/default/files/ruprecht-karls-universitaet-heidelberg_259_small.jpg,64,68.6,66,68.4,64,68,68,70.4,72,69.7,49.4190991,8.6702507,"49.4190991,8.6702507",70.8
63,64,Ludwig-Maximilians-Universität München,70.1,https://www.topuniversities.com/universities/ludwig-maximilians-universitat-munchen,Germany,Munich,Europe,https://www.topuniversities.com/sites/default/files/ludwig-maximilians-universitt-mnchen_420_small.jpg,63,68.9,63,69.6,62,69.4,66,70.8,68,70.2,48.1504165,11.5805468,"48.1504165,11.5805468",70.1
64,65,Universiti Malaya (UM),69.8,https://www.topuniversities.com/universities/universiti-malaya-um,Malaysia,Kuala Lumpur,Asia,https://www.topuniversities.com/sites/default/files/universiti-malaya-um_383_small.jpg,59,70.1,70,67.1,87,62.6,114,60.8,133,57.1,3.1209046,101.6538414,"3.1209046,101.6538414",69.8
65,66,The Hong Kong Polytechnic University,69.1,https://www.topuniversities.com/universities/hong-kong-polytechnic-university,Hong Kong SAR,Hong Kong,Asia,https://www.topuniversities.com/sites/default/files/the-hong-kong-polytechnic-university_267_small.jpg,75,65.8,91,61.9,106,59.1,95,65,111,61.4,22.3042407,114.1798118,"22.3042407,114.1798118",69.1
66,67,University of Texas at Austin,68.4,https://www.topuniversities.com/universities/university-texas-austin,United States,Austin,North America,https://www.topuniversities.com/sites/default/files/university-of-texas-at-austin_604_small.jpg,71,66.7,65,68.6,63,68.7,67,70.6,67,70.7,30.2849185,-97.7340567,"30.2849185,-97.7340567",68.4
67,68,National Taiwan University (NTU),68.2,https://www.topuniversities.com/universities/national-taiwan-university-ntu,Taiwan,Taipei City,Asia,https://www.topuniversities.com/sites/default/files/national-taiwan-university-ntu_592560cf2aeae70239af4c3c_small.jpg,66,67.5,69,67.3,72,66.3,76,69,68,70.2,25.0185669,121.5395291,"25.0185669,121.5395291",68.2
68,69,Universidad de Buenos Aires (UBA),67.9,https://www.topuniversities.com/universities/universidad-de-buenos-aires-uba,Argentina,Buenos Aires,Latin America,https://www.topuniversities.com/sites/default/files/universidad-de-buenos-aires-uba_78_small.jpg,66,67.5,74,66,73,66.2,75,69.1,85,65.8,-34.5998875,-58.3730695,"-34.5998875,-58.3730695",67.9
69,70,KU Leuven,67.2,https://www.topuniversities.com/universities/ku-leuven,Belgium,Leuven,Europe,https://www.topuniversities.com/sites/default/files/ku-leuven_592560cf2aeae70239af4aec_small.jpg,84,63,80,64.1,81,63.4,71,69.4,79,67.9,50.8779545,4.7002953,"50.8779545,4.7002953",67.2
70,70,University of Zurich,67.2,https://www.topuniversities.com/universities/university-zurich,Switzerland,Zürich,Europe,https://www.topuniversities.com/sites/default/files/university-of-zurich_693_small.jpg,69,67.1,76,65.8,78,63.6,73,69.2,80,67.8,47.3743221,8.5509812,"47.3743221,8.5509812",67.2
71,72,Sorbonne University,67.1,https://www.topuniversities.com/universities/sorbonne-university,France,,Europe,https://www.topuniversities.com/sites/default/files/sorbonne-university_5a6afcfecb4de709397114fe_small.jpg,83,63.3,77,64.9,75,64.8,,,,,48.8505515,2.3403275,"48.8505515,2.3403275",67.1
72,73,University of Glasgow,66.8,https://www.topuniversities.com/universities/university-glasgow,United Kingdom,Glasgow,Europe,https://www.topuniversities.com/sites/default/files/university-of-glasgow_592560cf2aeae70239af4b6c_small.jpg,77,64.6,67,68.2,69,67.4,65,71.6,63,71.7,55.8724256,-4.2900009,"55.8724256,-4.2900009",66.8
73,74,Korea University,66.3,https://www.topuniversities.com/universities/korea-university,South Korea,Seoul,Asia,https://www.topuniversities.com/sites/default/files/korea-university_325_small.jpg,69,67.1,83,63.4,86,62.7,90,65.5,98,62.8,37.590799,127.0277773,"37.590799,127.0277773",66.3
74,75,Osaka University,66.2,https://www.topuniversities.com/universities/osaka-university,Japan,Osaka City,Asia,https://www.topuniversities.com/sites/default/files/osaka-university_472_small.jpg,72,66.1,71,66.5,67,67.7,63,72.1,63,71.7,34.8220139,135.5244676,"34.8220139,135.5244676",66.2
75,75,University of Wisconsin-Madison,66.2,https://www.topuniversities.com/universities/university-wisconsin-madison,United States,Madison,North America,https://www.topuniversities.com/sites/default/files/university-of-wisconsin-madison_678_small.jpg,65,68.2,56,71.8,53,73.2,55,75.8,53,75.7,43.076592,-89.4124875,"43.076592,-89.4124875",66.2
76,77,University of Southampton,65.7,https://www.topuniversities.com/universities/university-southampton,United Kingdom,Southampton,Europe,https://www.topuniversities.com/sites/default/files/university-of-southampton_567_small.jpg,90,61.3,97,60.6,96,61.6,102,63.9,87,65.6,50.9351092,-1.3957594,"50.9351092,-1.3957594",65.7
77,78,Lomonosov Moscow State University,65.6,https://www.topuniversities.com/universities/lomonosov-moscow-state-university,Russia,Moscow,Europe,https://www.topuniversities.com/sites/default/files/lomonosov-moscow-state-university-_592560cf2aeae70239af4c27_small.jpg,74,65.9,84,63.2,90,62.3,95,65,108,62.1,55.7039349,37.5286695,"55.7039349,37.5286695",65.6
78,79,University of Copenhagen,65.5,https://www.topuniversities.com/universities/university-copenhagen,Denmark,Copenhagen,Europe,https://www.topuniversities.com/sites/default/files/university-of-copenhagen_141_small.jpg,76,65.5,81,63.8,79,63.5,73,69.2,68,70.2,55.6802303,12.5724096,"55.6802303,12.5724096",65.5
79,79,Yonsei University,65.5,https://www.topuniversities.com/universities/yonsei-university,South Korea,Seoul,Asia,https://www.topuniversities.com/sites/default/files/yonsei-university_688_small.jpg,85,62.5,104,58.7,107,58.9,106,62.3,112,60.5,37.565784,126.938572,"37.565784,126.938572",65.5
80,81,Pohang University of Science And Technology (POSTECH),65.4,https://www.topuniversities.com/universities/pohang-university-science-technology-postech,South Korea,Pohang ,Asia,https://www.topuniversities.com/sites/default/files/pohang-university-of-science-and-technology-postech_592560cf2aeae70239af4c7b_small.jpg,77,64.6,87,62.6,83,63,71,69.4,83,67,36.0138857,129.3231836,"36.0138857,129.3231836",65.4
81,82,Durham University,65.2,https://www.topuniversities.com/universities/durham-university,United Kingdom,Durham,Europe,https://www.topuniversities.com/sites/default/files/durham-university_170_small.jpg,86,62.2,78,64.2,74,65.7,78,68.5,74,68.8,54.7649859,-1.5782029,"54.7649859,-1.5782029",65.2
82,82,Tohoku University,65.2,https://www.topuniversities.com/universities/tohoku-university,Japan,Sendai City,Asia,https://www.topuniversities.com/sites/default/files/tohoku-university_611_small.jpg,79,64.3,82,63.7,77,64.3,76,69,75,68.7,38.253834,140.874074,"38.253834,140.874074",65.2
83,82,University of Illinois at Urbana-Champaign,65.2,https://www.topuniversities.com/universities/university-illinois-urbana-champaign,United States,Champaign,North America,https://www.topuniversities.com/sites/default/files/university-of-illinois-at-urbana-champaign_2090_small.jpg,82,63.4,75,65.9,71,67,69,70.3,66,71.4,40.1019523,-88.2271615,"40.1019523,-88.2271615",65.2
84,85,The University of Auckland,65,https://www.topuniversities.com/universities/university-auckland,New Zealand,Auckland,Oceania,https://www.topuniversities.com/sites/default/files/the-university-of-auckland_592560cf2aeae70239af4aa8_small.jpg,81,64,83,63.4,85,62.8,82,67,81,67.3,-36.8523378,174.7691073,"-36.8523378,174.7691073",65
85,85,University of Washington,65,https://www.topuniversities.com/universities/university-washington,United States,Seattle,North America,https://www.topuniversities.com/sites/default/files/university-of-washington_592560cf2aeae70239af4d1e_small.jpg,72,66.1,68,67.9,66,67.8,61,72.9,59,73.9,47.65546456,-122.3035475,"47.65546455889563,-122.30354751264416",65
86,86,Université Paris-Saclay,64.9,https://www.topuniversities.com/universities/universite-paris-saclay,France,,Europe,https://www.topuniversities.com/sites/default/files/universit-paris-saclay_592560cf2aeae70239af4c6e_small.jpg,305,34,262,36.8,239,38.9,242,42.3,241,42,48.7098718,2.1666978,"48.7098718,2.1666978",64.9
87,87,Lund University,63.8,https://www.topuniversities.com/universities/lund-university,Sweden,Lund,Europe,https://www.topuniversities.com/sites/default/files/lund-university_371_small.jpg,97,60.2,92,61.8,92,62.1,78,68.5,73,69.1,55.7119483,13.203493,"55.7119483,13.203493",63.8
88,88,Georgia Institute of Technology,63.5,https://www.topuniversities.com/universities/georgia-institute-technology,United States,Atlanta,North America,https://www.topuniversities.com/sites/default/files/georgia-institute-of-technology_225_small.jpg,80,64.1,72,66.2,69,67.4,70,70.1,71,69.8,33.7756178,-84.396285,"33.7756178,-84.396285",63.5
