,rank_2022,university,score_2022,link,country,city,region,logo,rank_2021,score_2021,rank_2020,score_2020,rank_2019,score_2019,rank_2018,score_2018,rank_2017,score_2017,Latitude,Longitude,Location,score_2022_2
328,328,L.N. Gumilyov Eurasian National University (ENU),32.7,https://www.topuniversities.com/universities/ln-gumilyov-eurasian-national-university-enu,Kazakhstan,Nur-Sultan,Asia,https://www.topuniversities.com/sites/default/files/l.n.-gumilyov-eurasian-national-university-enu_592560cf2aeae70239af52e8_small.jpg,357,30.2,418,27.5,394,28.5,336,35,345,33.8,51.157963,71.467417,"51.157963,71.467417",32.7
329,329,Linköping University,32.5,https://www.topuniversities.com/universities/linkoping-university,Sweden,Linköping,Europe,https://www.topuniversities.com/sites/default/files/linkping-university_348_small.jpg,362,30,324,33,302,34.4,287,38.4,282,37.7,58.39797131,15.57602866,"58.39797131157665,15.576028656227592",32.5
330,330,"City, University of London",32.4,https://www.topuniversities.com/universities/city-university-london,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/city-university-of-london_354_small.jpg,350,30.9,349,31.1,351,31,343,34.2,314,35.8,51.5279719,-0.1024624,"51.5279719,-0.1024624",32.4
331,330,Technion - Israel Institute of Technology,32.4,https://www.topuniversities.com/universities/technion-israel-institute-technology,Israel,Haifa,Asia,https://www.topuniversities.com/sites/default/files/technion-israel-institute-of-technology_600_small.jpg,291,34.6,257,37.2,247,38.4,224,44,213,45.5,32.7767783,35.0231271,"32.7767783,35.0231271",32.4
332,332,"Birkbeck, University of London",32.3,https://www.topuniversities.com/universities/birkbeck-university-london,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/birkbeck-university-of-london_1636_small.jpg,344,31.4,328,32.6,306,34.2,308,36.9,280,37.8,51.5218563,-0.1303146,"51.5218563,-0.1303146",32.3
333,332,Taylor's University,32.3,https://www.topuniversities.com/universities/taylors-university,Malaysia,Subang Jaya,Asia,https://www.topuniversities.com/sites/default/files/taylors-university_592560cf2aeae70239af57af_small.jpg,379,28.9,511-520,,601-650,,,,,,3.06411,101.6160856,"3.06411,101.6160856",32.3
334,334,Huazhong University of Science and Technology,32.2,https://www.topuniversities.com/universities/huazhong-university-science-technology,China (Mainland),Wuhan,Asia,https://www.topuniversities.com/sites/default/files/huazhong-university-of-science-and-technology_592560cf2aeae70239af5256_small.jpg,396,28.2,400,28.2,415,27.4,471-480,,441-450,,30.5130043,114.4202756,"30.5130043,114.4202756",32.2
335,334,National Taiwan Normal University,32.2,https://www.topuniversities.com/universities/national-taiwan-normal-university,Taiwan,Taipei City,Asia,https://www.topuniversities.com/sites/default/files/national-taiwan-normal-university_440_small.jpg,331,31.8,331,32.3,308,34.1,289,38.3,310,36,25.0261656,121.5275484,"25.0261656,121.5275484",32.2
336,334,Politecnico di Torino,32.2,https://www.topuniversities.com/universities/politecnico-di-torino,Italy,Turin,Europe,https://www.topuniversities.com/sites/default/files/211027114149am317273Poli-di-Torino-logo-200x2000-48x48.jpg,308,33.5,348,31.2,387,28.7,307,37,305,36.4,45.0632841,7.6601247,"45.0632841,7.6601247",32.2
337,334,Royal Holloway University of London,32.2,https://www.topuniversities.com/universities/royal-holloway-university-london,United Kingdom,Egham,Europe,https://www.topuniversities.com/sites/default/files/royal-holloway-university-of-london_534_small.jpg,308,33.5,291,34.8,236,39.1,259,40.5,235,42.6,51.425673,-0.5630625,"51.425673,-0.5630625",32.2
338,334,Tianjin University,32.2,https://www.topuniversities.com/universities/tianjin-university,China (Mainland),Tianjin,Asia,https://www.topuniversities.com/sites/default/files/tianjin-university_609_small.jpg,387,28.6,429,27,443,26,471-480,,481-490,,39.108067,117.176196,"39.108067,117.176196",32.2
339,334,University of Victoria (UVic),32.2,https://www.topuniversities.com/universities/university-victoria-uvic,Canada,Victoria,North America,https://www.topuniversities.com/sites/default/files/university-of-victoria-uvic_592560cf2aeae70239af4d0e_small.jpg,370,29.5,364,30.4,359,30.4,346,33.9,325,35,48.4634067,-123.3116935,"48.4634067,-123.3116935",32.2
340,340,Goethe-University Frankfurt am Main,32.1,https://www.topuniversities.com/universities/goethe-university-frankfurt-am-main,Germany,Frankfurt,Europe,https://www.topuniversities.com/sites/default/files/universitt-frankfurt-am-main_214_small.jpg,311,33.4,291,34.8,279,35.7,254,40.9,264,39.2,50.1270675,8.6677635,"50.1270675,8.6677635",32.1
